ticker sector industry price market_cap recommendation
CYBR Technology "Business Software & Services" 54.21 1.60B 1.90
CYBX index_error index_error   index_error
CYNO index_error index_error 66.00  3.00
CYOU Technology "Multimedia & Graphics Software" 32.06 1.68B 3.00
CYTK Healthcare Biotechnology 15.50 644.44M 1.70
CZR Services "Resorts & Casinos" 11.10 1.63B 2.00
"server error"     "server error"
DAKT Technology "Computer Based Systems" 9.665 425.91M 2.00
DATE index_error index_error 7.49  index_error
DAVE Services Restaurants 4.40 30.61M 3.00
DBVT index_error index_error 35.33 812.59M 1.60
DCIX Services Shipping 0.4967 4.65M 5.00
DCOM Financial "Savings & Loans" 19.50 725.19M 2.80
DEJ index_error index_error   index_error
DEPO Healthcare "Drug Manufacturers - Other" 11.35 704.82M 2.60
DERM Healthcare Biotechnology 31.75 1.13B 2.00
DEST Services "Apparel Stores" 3.68 51.47M 1.00
DFF index_error index_error 18.80  index_error
DFRG Services Restaurants 17.55 383.01M 2.40
DGAS Utilities "Gas Utilities" 29.90 212.98M 3.00
DGICA   16.58 449.67M 3.00
DGICB Financial "Property & Casualty Insurance" 15.85 429.87M none
DGII Technology "Networking & Communication Devices" 10.70 282.80M 2.00
DGSE Services "Jewelry Stores" 1.635 43.99M none
DHIL Financial "Asset Management" 203.41 659.25M 1.00
DHXM   3.9287 526.15M 2.00
DHY Financial "Asset Management" 2.80 279.99M none
DIOD Technology "Semiconductor - Integrated Circuits" 22.80 1.10B 2.20
DISCA Services "CATV Systems" 27.09 15.86B 3.20
DISCB   27.50 16.10B 3.00
DISCK   26.40 15.45B 3.00
DISH Services "CATV Systems" 61.375 28.56B 2.50
DIT Services "Food Wholesale" 102.50 69.50M none
DLA "Consumer Goods" "Textile - Apparel Clothing" 17.31 131.69M 2.00
DLTH   21.16 686.45M 2.20
DLTR Services "Discount, Variety Stores" 81.94 19.36B 2.50
DMF Financial "Asset Management" 8.96  none
DMLP Financial "Diversified Investments" 16.75 513.81M none
DMND index_error index_error 37.56  index_error
DMRC Technology "Information Technology Services" 29.65 301.27M 1.80
DMTX   1.35 33.81M 2.00
DNKN Services Restaurants 56.01 5.15B 2.90
DNN "Basic Materials" "Industrial Metals & Minerals" 0.49 264.98M 2.30
DORM "Consumer Goods" "Auto Parts" 82.79 2.85B 3.00
DOX Technology "Business Software & Services" 62.015 9.10B 2.10
DPW Technology "Diversified Electronics" 0.6353 5.85M none
DRNA Healthcare Biotechnology 3.03 63.01M 2.00
DSGX   23.30 1.77B 2.10
DSKY index_error index_error   index_error
DSPG Technology "Semiconductor - Integrated Circuits" 12.40 274.05M 2.00
DSS Services "Business Services" 1.05 51.97M 2.00
DTLK index_error index_error 11.24  index_error
DTSI index_error index_error   index_error
"server error"     "server error"
DWSN "Basic Materials" "Oil & Gas Equipment & Services" 5.10 110.48M 1.50
DXCM Healthcare "Medical Laboratories & Research" 76.90 6.52B 1.70
DXI index_error index_error 0.11 4.94B index_error
DXLG Services "Apparel Stores" 2.25 112.28M 1.80
DXM index_error index_error   index_error
DXPE Services "Industrial Equipment Wholesale" 35.30 612.38M 2.00
DXR Healthcare "Medical Instruments & Supplies" 7.25 27.54M none
EA Technology "Multimedia & Graphics Software" 95.23 29.36B 2.00
EAD Financial "Asset Management" 8.6238  none
EBAY Services "Specialty Retail, Other" 33.50 36.26B 2.50
EBIX Technology "Business Software & Services" 62.05 1.95B 1.50
EBSB Financial "Savings & Loans" 17.325 882.69M 3.00
EBTC Financial "Savings & Loans" 33.6364 384.33M none
ECF Financial "Asset Management" 8.91 115.03M none
ECHO Services Trucking 19.725 566.50M 1.70
ECOL "Industrial Goods" "Waste Management" 51.55 1.12B 2.40
ECPG Financial "Asset Management" 32.80 839.61M 2.30
ECYT Healthcare Biotechnology 2.29 97.26M 2.00
EDGE   10.47 303.72M 1.70
EEFT Services "Business Services" 84.32 4.63B 2.00
EFII Technology "Computer Peripherals" 46.00 2.17B 1.50
EFSC Financial "Regional - Southwest  Banks" 42.625 999.00M 2.60
EGAS Utilities "Gas Utilities" 12.625 132.80M 5.00
EGHT Technology "Diversified Communication Services" 13.20 1.20B 2.00
EGI "Basic Materials" Gold 0.452 78.11M 3.00
EGLE index_error index_error 4.60  1.70
EGOV Technology "Application Software" 21.35 1.41B 2.70
EHTH Financial "Insurance Brokers" 17.69 324.97M 2.50
EIA Financial "Asset Management" 11.7699 45.74M none
EIGI Technology "Application Software" 8.075 1.15B 2.60
EIM Financial "Asset Management" 12.51  none
EIO Financial "Asset Management" 12.7784  none
EIP Financial "Asset Management" 13.26 39.25M none
EIV Financial "Asset Management" 12.315 123.31M none
ELGX Healthcare "Medical Instruments & Supplies" 7.495 621.52M 2.20
"server error"     "server error"
ELMD Healthcare "Medical Appliances & Equipment" 4.73 38.93M 2.00
ELNK index_error index_error 5.63  index_error
ELON Technology "Networking & Communication Devices" 5.91 26.20M 3.00
ELOS Healthcare "Medical Appliances & Equipment" 10.95 383.45M 2.50
ELRC index_error index_error   index_error
EMAN Technology "Semiconductor Equipment & Materials" 2.40 75.90M 2.50
EMCI Financial "Property & Casualty Insurance" 26.989 574.03M 3.00
EMI Financial "Asset Management" 13.07 26.30M none
EMITF   3.4292 31.51M none
EMJ Financial "Asset Management" 12.90 33.27M 3.00
EMMS Services "Broadcasting - Radio" 2.64 32.73M 3.00
EMMSP index_error index_error 1.71  index_error
EMXX index_error index_error 0.89  index_error
ENDP Healthcare "Drug Manufacturers - Other" 11.205 2.50B 2.60
ENOC Services "Business Services" 5.40 158.29M 2.00
ENRJ "Basic Materials" "Independent Oil & Gas" 0.38 3.20M none
ENRJ-P index_error index_error 0.8664 810.08M index_error
ENSG Healthcare "Long-Term Care Facilities" 19.65 1.00B 2.30
ENSV "Basic Materials" "Independent Oil & Gas" 0.2794 14.27M 1.50
ENTA Healthcare Biotechnology 30.84 587.22M 2.70
ENTG Technology "Semiconductor Equipment & Materials" 24.60 3.48B 1.90
ENVI index_error index_error   index_error
ENX Financial "Asset Management" 12.45  3.00
ENZY Healthcare Biotechnology 8.55 196.17M 3.30
EOX index_error index_error 1.37  index_error
EPAX index_error index_error   index_error
EPAY Technology "Business Software & Services" 25.18 955.96M 2.40
EPIQ index_error index_error   index_error
EPM "Basic Materials" "Independent Oil & Gas" 7.25 236.83M 2.50
EPZM Healthcare Biotechnology 16.30 949.44M 1.50
EQIX Technology "Internet Software & Services" 424.01 30.86B 1.80
ERB index_error index_error 0.50  index_error
ERC Financial "Asset Management" 13.504  1.00
ERH Financial "Asset Management" 13.07  none
ERI Services "Resorts & Casinos" 20.00 942.38M 2.30
ERIC   6.62 21.66B 2.70
ERIE Financial "Insurance Brokers" 118.91 6.22B 2.30
ERII "Industrial Goods" "Pollution & Treatment Controls" 7.80 420.26M 1.30
ERN "Basic Materials" "Independent Oil & Gas" 1.85 393.35M 4.00
EROC index_error index_error   index_error
ESGR Financial "Property & Casualty Insurance" 190.55 3.70B 3.00
"server error"     "server error"
ESLT   117.446 5.02B 3.00
ESNC "Industrial Goods" "Industrial Electrical Equipment" 0.7076 33.97M 2.00
ESND "Consumer Goods" "Business Equipment" 16.88 633.00M 3.00
ESP Technology "Diversified Electronics" 23.2508 53.87M 3.00
ESRX Healthcare "Health Care Plans" 61.56 36.54B 2.70
ESSA Financial "Savings & Loans" 14.76 154.61M 3.00
ESTE "Basic Materials" "Independent Oil & Gas" 13.39 298.24M 1.70
ETAK index_error index_error 0.17  index_error
ETF index_error index_error   index_error
ETFC Financial "Investment Brokerage - National" 35.80 9.84B 2.20
ETSY Services "Specialty Retail, Other" 11.66 1.29B 2.60
EVBN Financial "Regional - Northeast Banks" 38.60 164.47M 2.00
EVBS Financial "Regional - Southeast Banks" 11.24 145.54M 3.00
EVEP "Basic Materials" "Oil & Gas Drilling & Exploration" 1.38 68.13M 3.00
EVI Services "Consumer Services" 22.80 236.41M none
EVJ Financial "Asset Management" 12.19  none
EVLV Services "Catalog & Mail Order Houses" 1.31 79.77M 2.00
EVM Financial "Asset Management" 11.59 247.96M none
EVO Financial "Asset Management" 13.65 39.00M 1.00
EVP Financial "Asset Management" 12.29 31.97M 3.00
EVV Financial "Asset Management" 14.11 1.64B none
EVY Financial "Asset Management" 12.99 71.12M none
EWBC Financial "Foreign Money Center Banks" 55.70 8.05B 2.30
EXAC Healthcare "Medical Appliances & Equipment" 29.55 421.74M 1.30
EXEL Healthcare Biotechnology 21.675 6.30B 2.00
EXFO   4.56 248.84M 2.70
EXLP index_error index_error   index_error
EXLS Services "Business Services" 49.58 1.68B index_error
EXPD Services "Air Delivery & Freight Services" 54.39 9.80B 3.20
EXPE Services Lodging 140.43 21.20B 2.00
EXPO Services "Management Services" 60.95 1.60B 2.80
EXTR Technology "Networking & Communication Devices" 8.87 959.47M 2.00
EXXI "Basic Materials" "Independent Oil & Gas" 27.41 910.31M none
EZCH index_error index_error   index_error
EZPW Financial "Credit Services" 9.05 491.34M 2.80
FANG "Basic Materials" "Independent Oil & Gas" 98.40 8.87B 2.00
FARM "Consumer Goods" "Processed & Packaged Goods" 34.55 572.98M 1.70
FARO Technology "Scientific & Technical Instruments" 36.15 602.98M 2.20
FAST Services "Industrial Equipment Wholesale" 45.68 13.21B 2.60
FAX Financial "Closed-End Fund - Debt" 5.015 1.27B none
FB Technology "Internet Information Providers" 150.24 434.19B 1.70
"server error"     "server error"
FBNC Financial "Regional - Mid-Atlantic Banks" 29.92 664.82M 2.30
FBNK Financial "Money Center Banks" 26.65 401.56M 2.30
FBRC Financial "Investment Brokerage - National" 16.95 119.96M 1.00
FCBC Financial "Regional - Mid-Atlantic Banks" 27.19 462.58M 3.00
FCNCA Financial "Regional - Mid-Atlantic Banks" 351.86 4.23B none
FCO Financial "Closed-End Fund - Debt" 8.68  none
FCS index_error index_error   index_error
FDEF Financial "Savings & Loans" 54.72 555.13M 3.00
FDML index_error index_error 9.98  index_error
FDUS Financial "Asset Management" 16.64 373.50M 2.00
FEIC index_error index_error   index_error
FELE "Industrial Goods" "Industrial Electrical Equipment" 38.90 1.85B 2.70
FEN Financial "Asset Management" 26.37 511.02M 1.00
FEYE Technology "Application Software" 14.73 2.61B 2.50
FFBC Financial "Regional - Midwest Banks" 27.90 1.73B 2.90
FFBCW index_error index_error 17.469  none
FFIC Financial "Savings & Loans" 30.22 876.95M 2.60
FFIN Financial "Regional - Southwest  Banks" 40.20 2.66B 3.20
FFIV Technology "Business Software & Services" 128.52 8.24B 2.70
FFKT Financial "Regional - Southeast Banks" 41.95 315.04M 2.70
FFNW Financial "Regional - Pacific Banks" 15.52 171.26M 3.00
FGEN Healthcare Biotechnology 27.95 1.79B 1.20
FIBK Financial "Regional - Pacific Banks" 38.75 1.75B 2.70
FINL Services "Specialty Retail, Other" 15.965 644.24M 2.80
FISI Financial "Regional - Mid-Atlantic Banks" 33.35 482.87M 2.40
FISV Services "Business Services" 119.8175 26.26B 2.60
FITB Financial "Regional - Midwest Banks" 24.815 18.61B 2.90
FITBI   28.8337 21.63B none
FIVE Services "Specialty Retail, Other" 51.15 2.81B 2.00
FIZZ "Consumer Goods" "Beverages - Soft Drinks" 83.07 3.87B 3.00
FLDM Healthcare "Medical Laboratories & Research" 5.90 172.33M 2.70
FLEX Technology "Printed Circuit Boards" 15.16 8.20B 1.60
FLIR Technology "Scientific & Technical Instruments" 36.87 5.03B 2.60
FLWS Services "Specialty Retail, Other" 10.35 678.64M 1.70
FLXS "Consumer Goods" "Home Furnishings & Fixtures" 56.10 438.42M 1.00
FMBI Financial "Regional - Midwest Banks" 23.065 2.37B 2.50
FMER index_error index_error   index_error
FMI Healthcare "Medical Laboratories & Research" 35.65 1.26B 2.70
FNBC Financial "Foreign Regional Banks" 0.3467 6.67M 3.00
FNFG index_error index_error 10.18  index_error
FNGN Financial "Asset Management" 40.00 2.49B 1.80
FNLC Financial "Regional - Northeast Banks" 26.635 288.03M none
FNSR Technology "Networking & Communication Devices" 23.90 2.66B 1.70
FOGO Services Restaurants 16.8499 475.37M 2.40
FORM Technology "Semiconductor - Broad Line" 14.25 1.02B 1.70
FORR Services "Research Services" 40.10 725.09M 2.30
FORTY Technology "Business Software & Services" 39.00 556.41M none
FOSL "Consumer Goods" "Textile - Apparel Footwear & Accessories" 17.29 834.59M 3.40
FOX   28.60 52.93B 2.00
FOXA Services "Entertainment - Diversified" 29.025 53.72B 2.10
FOXF "Consumer Goods" "Recreational Vehicles" 31.45 1.17B 2.00
FPP "Basic Materials" "Independent Oil & Gas" 0.33 3.52M none
FPRX Healthcare Biotechnology 30.215 831.18M 1.50
FRAN Services "Apparel Stores" 15.69 589.02M 3.10
FRD "Basic Materials" "Steel & Iron" 5.70 39.95M 1.00
FRED Services "Discount, Variety Stores" 14.85 564.09M 2.50
FRGI Services Restaurants 24.175 646.80M 2.10
FRME Financial "Regional - Midwest Banks" 41.54 1.69B 2.20
FRPH Financial "Property Management" 44.50 441.17M 3.00
FRS index_error index_error 33.97  index_error
FRSH Services "Specialty Eateries" 5.18 87.88M 2.00
FSAM   4.65 72.43M 3.00
FSBK Financial "Savings & Loans" 13.53 128.54M none
FSC Financial "Credit Services" 4.40 620.22M 3.00
FSCFL index_error index_error 25.45 76.35B none
FSFR Financial "Asset Management" 7.99 235.43M 3.00
FSI "Basic Materials" "Specialty Chemicals" 1.63 18.68M 3.00
FSLR Technology "Semiconductor - Specialized" 34.575 3.60B 2.60
FSP Financial "REIT - Office" 11.30 1.21B 2.60
FSRV index_error index_error   index_error
FSTR Services Railroads 16.80 173.38M 3.00
FSV   62.46 2.24B 2.30
FSYS index_error index_error 5.40  index_error
FTD Services "Specialty Retail, Other" 20.03 549.50M 3.00
FTEK "Industrial Goods" "Pollution & Treatment Controls" 0.80 18.77M 3.00
FTF Financial "Asset Management" 11.956 320.36M none
FTNT Technology "Application Software" 40.08 6.99B 2.10
FTR Technology "Telecom Services - Domestic" 1.45 1.70B 2.80
FUEL Services "Advertising Agencies" 5.46 252.55M 2.80
FULT Financial "Regional - Northeast Banks" 18.45 3.22B 2.90
FUNC Financial "Regional - Mid-Atlantic Banks" 14.20 89.02M 3.00
FUND Financial "Closed-End Fund - Equity" 7.4778 182.82M none
FWP Healthcare Biotechnology 19.36 913.46M 3.00
FWRD Services "Air Delivery & Freight Services" 51.65 1.57B 2.40
FWV index_error index_error 17.20  index_error
FXCB index_error index_error   index_error
FXEN index_error index_error   index_error
FXENP index_error index_error 25.5992 1.40B index_error
GAIN Financial "Diversified Investments" 9.72 294.22M 3.00
GAINN   25.7816 780.41M none
GAME index_error index_error   index_error
GARS Financial "Asset Management" 9.71 155.84M 2.40
GASS Services Shipping 3.15 125.28M 2.00
GBCI Financial "Regional - Pacific Banks" 34.52 2.64B 2.90
GBDC Financial "Asset Management" 20.33 1.12B 2.50
GBLI Financial "Property & Casualty Insurance" 38.18 670.78M 3.00
GBNK Financial "Regional - Mid-Atlantic Banks" 25.45 710.18M 2.20
GBR "Basic Materials" "Independent Oil & Gas" 1.64 3.19M none
GBT Healthcare Biotechnology 29.90 1.30B 1.80
GEOS "Basic Materials" "Oil & Gas Equipment & Services" 15.65 210.24M 3.00
GERN Healthcare Biotechnology 2.57 409.04M 2.30
GEVA index_error index_error 238.60  index_error
GGN Financial "Diversified Investments" 5.63 757.03M none
GGN-PB   23.97 3.22B none
GHDX Healthcare "Medical Laboratories & Research" 32.68 1.11B 2.70
GIFI "Basic Materials" "Oil & Gas Equipment & Services" 9.55 141.82M 3.00
GIG index_error index_error 3.07  2.30
GIII "Consumer Goods" "Textile - Apparel Clothing" 24.06 1.17B 2.40
GILD Healthcare Biotechnology 67.80 88.62B 2.30
GILT Technology "Communication Equipment" 4.97 271.61M 1.00
GK index_error index_error 97.49  3.00
GLAD Financial "Closed-End Fund - Debt" 10.05 256.45M 3.30
GLADO   25.60 653.24M none
GLBL Utilities "Diversified Utilities" 4.7687 539.95M 3.00
GLDD "Industrial Goods" "Heavy Construction" 4.45 271.28M 3.00
GLNG Services Shipping 25.74 2.52B 1.70
GLO Financial "Asset Management" 10.5877  none
GLOW Technology "Diversified Communication Services" 0.28 10.11M 1.00
GLPG   87.67 4.06B 2.80
GLPI Financial "REIT - Diversified" 35.35 7.34B 2.70
GLQ Financial "Asset Management" 12.7464  none
GLRE Financial "Accident & Health Insurance" 20.025 748.25M 2.00
GLU Financial "Closed-End Fund - Equity" 18.89  none
GLUU Technology "Multimedia & Graphics Software" 2.475 333.42M 2.40
GLV Financial "Asset Management" 13.5624 140.94M none
GMAN index_error index_error 0.06  3.00
GMCR index_error index_error   index_error
GMLP Services Shipping 21.33 1.51B 2.40
GMO "Basic Materials" "Industrial Metals & Minerals" 0.3299 36.67M 2.00
GNBC Financial "Money Center Banks" 18.50 684.32M 2.40
GNCMA Technology "Long Distance Carriers" 36.62 1.31B 3.00
GNTX "Consumer Goods" "Auto Parts" 20.06 5.77B 2.50
GOGL Services Shipping 6.465 740.71M 2.00
GOGO Technology "Diversified Communication Services" 13.18 1.14B 2.10
GOLD   89.06 8.37B 2.00
GOOD Financial "REIT - Diversified" 20.66 516.02M 2.50
GOODN index_error index_error   index_error
GOODP   25.6301 640.16M none
GOOG Technology "Internet Information Providers" 927.13 637.26B 1.90
GOOGL Technology "Internet Information Providers" 949.89 652.90B 1.90
GORO "Basic Materials" Gold 3.40 193.25M 2.00
GPL "Basic Materials" Silver 1.19 199.58M 2.50
GPOR "Basic Materials" "Independent Oil & Gas" 15.69 2.49B 1.90
GPRE "Basic Materials" "Specialty Chemicals" 25.75 983.16M 1.90
GPRO "Consumer Goods" "Photographic Equipment & Supplies" 8.475 1.21B 3.50
GRC "Industrial Goods" "Diversified Machinery" 27.35 713.64M 3.00
GRF Financial "Asset Management" 7.69  none
GRFS   21.39 29.21B 2.00
GRH index_error index_error   index_error
GRH-PC index_error index_error   index_error
GRMN Technology "Scientific & Technical Instruments" 52.405 9.88B 3.10
GRPN Technology "Internet Information Providers" 3.455 1.95B 3.10
GSAT Technology "Wireless Communications" 1.72 1.92B 2.00
GSB Technology "Application Software" 4.02 86.70M 1.00
GSBC index_error index_error 50.75 710.96M 2.80
GSIG index_error index_error 14.77  index_error
GSIT Technology "Semiconductor - Broad Line" 7.6333 155.59M 3.00
GSM "Basic Materials" "Industrial Metals & Minerals" 8.98 1.54B 1.60
GSOL Services "Business Services" 10.15 271.45M 2.00
GSS "Basic Materials" Gold 0.6784 254.06M 3.00
GST "Basic Materials" "Independent Oil & Gas" 1.31 193.79M 2.60
GST-PA   19.50 2.88B none
GSV "Basic Materials" Gold 1.57 349.79M 2.00
GT "Consumer Goods" "Rubber & Plastics" 35.34 8.89B 2.10
GTE "Basic Materials" "Independent Oil & Gas" 2.415 963.60M 1.80
GTLS "Industrial Goods" "Metal Fabrication" 35.32 1.08B 2.80
GTU index_error index_error 39.42  index_error
GURE "Basic Materials" "Specialty Chemicals" 1.90 88.91M 1.00
GV "Industrial Goods" "Heavy Construction" 4.65 118.35M 2.00
GVP Technology "Business Software & Services" 3.11 59.55M 3.00
HA Services "Regional Airlines" 53.775 2.88B 2.50
HAFC Financial "Regional - Pacific Banks" 29.15 932.83M 2.20
HAIN Services "Food Wholesale" 37.06 3.83B 2.80
HALO Healthcare Biotechnology 13.99 1.79B 2.30
HAS "Consumer Goods" "Toys & Games" 100.20 12.54B 2.80
HAWK Financial "Credit Services" 41.775 2.34B 2.10
HAYN "Industrial Goods" "Metal Fabrication" 39.49 489.68M 2.50
HBAN Financial "Regional - Midwest Banks" 12.99 14.12B 2.30
HBANP   1393.8868 11.27B none
HBCP Financial "Savings & Loans" 36.51 269.19M 2.30
HBHC Financial "Regional - Southeast Banks" 48.30 4.08B 2.50
HBHCL index_error index_error 25.7392 154.44B none
HBNC Financial "Regional - Northeast Banks" 26.96 597.86M 1.80
HBOS index_error index_error   index_error
HCBK index_error index_error 10.12  index_error
HCCI "Industrial Goods" "Pollution & Treatment Controls" 14.90 334.59M 1.30
HCHC Technology "Long Distance Carriers" 5.48 229.83M 2.00
HCKT Services "Management Services" 19.93 581.70M 1.50
HCOM Technology "Diversified Communication Services" 24.83 285.87M 1.50
HCSG Services "Business Services" 45.50 3.32B 2.00
HDNG "Industrial Goods" "Machine Tools & Accessories" 10.71 138.18M 2.00
HDP Technology "Technical & System Software" 11.05 457.11M 2.30
HDS Services "Industrial Equipment Wholesale" 40.64 8.18B 1.90
HEB Healthcare Biotechnology 0.6451 16.89M 1.00
HEES Services "Rental & Leasing Services" 20.79 737.32M 2.50
HELE "Consumer Goods" "Housewares & Accessories" 94.75 2.61B 2.00
HFWA Financial "Regional - Pacific Banks" 25.50 757.43M 2.50
HH Healthcare "Specialized Health Services" 0.72 8.51M 1.00
HIBB Services "Sporting Goods Stores" 25.35 540.99M 3.20
HIMX Technology "Semiconductor - Specialized" 6.835 1.18B 2.40
HKTV index_error index_error   index_error
HLIT Technology "Communication Equipment" 5.05 402.85M 2.30
HLM-P index_error index_error 33.82  none
HLTH   1.30 101.18M 2.30
HMG Financial "REIT - Retail" 10.54 10.56M none
HMHC Services "Education & Training Services" 13.00 1.60B 2.10
HMIN index_error index_error 35.71  index_error
HMPR index_error index_error   index_error
HMST Financial "Savings & Loans" 26.85 721.24M 2.40
HMSY Services "Business Services" 20.10 1.68B 1.90
HNW Financial "Asset Management" 16.76  none
HOFT "Consumer Goods" "Home Furnishings & Fixtures" 45.60 526.09M 1.00
HOLI "Industrial Goods" "Industrial Electrical Equipment" 16.12 971.38M 2.60
HOLX Healthcare "Medical Appliances & Equipment" 45.01 12.57B 2.00
HOMB Financial "Money Center Banks" 25.14 3.61B 2.50
HQCL Technology "Semiconductor - Specialized" 6.45 536.52M 3.00
HQY Technology "Healthcare Information Services" 46.18 2.75B 1.80
HRT Healthcare "Medical Appliances & Equipment" 4.10  none
HRZN Financial "Asset Management" 11.31 130.21M 3.10
HSIC Services "Medical Equipment Wholesale" 178.05 14.10B 2.20
HSII Services "Staffing & Outsourcing Services" 21.65 405.63M 2.50
HSNI Services "Specialty Retail, Other" 35.425 1.86B 2.60
HSON Services "Staffing & Outsourcing Services" 1.52 48.20M 1.00
HSTM Technology "Healthcare Information Services" 28.62 909.37M 2.30
HTBI Financial "Regional - Northeast Banks" 24.90 443.42M 3.00
HTBK Financial "Regional - Pacific Banks" 14.70 557.98M 2.00
HTCH index_error index_error   index_error
HTHT Services Lodging 69.12 4.82B 2.10
HTLD Services Trucking 19.69 1.64B 3.70
HTLF Financial "Regional - Southwest  Banks" 48.75 1.30B 2.50
HTM Utilities "Diversified Utilities" 4.2247 80.34M 2.20
HTWR index_error index_error   index_error
HUBG Services "Air Delivery & Freight Services" 37.65 1.29B 2.90
HURC Technology "Scientific & Technical Instruments" 29.05 191.79M 3.00
HURN Services "Management Services" 44.50 927.56M 2.70
HUSA "Basic Materials" "Independent Oil & Gas" 0.3759 19.28M none
HWAY index_error index_error 23.70  index_error
HWBK Financial "Regional - Northeast Banks" 19.40 108.93M none
"server error"     "server error"
HWKN "Basic Materials" "Specialty Chemicals" 50.25 534.26M 1.00
HZNP Healthcare "Drugs - Generic" 15.55 2.52B 1.70
IACI index_error index_error 50.68  index_error
IAF Financial "Asset Management" 6.13  none
IART Healthcare "Medical Instruments & Supplies" 46.20 3.49B 1.90
IBCP Financial "Regional - Midwest Banks" 22.00 469.19M 2.80
IBIO Healthcare Biotechnology 0.4097 36.51M 2.00
IBKC Financial "Regional - Southeast Banks" 81.3501 3.75B 2.10
IBKR Financial "Investment Brokerage - National" 36.08 2.45B 3.00
IBOC Financial "Regional - Southwest  Banks" 36.90 2.43B 3.00
IBTX Financial "Regional - Southeast Banks" 60.70 1.15B 2.40
ICLR Healthcare "Medical Laboratories & Research" 85.96 4.69B 2.30
ICON "Consumer Goods" "Textile - Apparel Footwear & Accessories" 6.965 396.66M 2.80
ICPT Healthcare Biotechnology 118.92 2.95B 2.40
ICUI Healthcare "Medical Instruments & Supplies" 155.05 2.53B 1.80
IDCC Technology "Wireless Communications" 84.15 2.89B 2.80
IDN Technology "Application Software" 3.19 34.27M 2.00
IDTI Technology "Semiconductor - Broad Line" 23.25 3.10B 2.20
IDXX Healthcare "Diagnostic Substances" 162.46 14.30B 2.20
IEC Technology "Printed Circuit Boards" 3.75 38.54M 2.00
IEP Conglomerates Conglomerates 52.76 8.23B 2.50
IF Financial "Asset Management" 7.45  none
IFMI Financial "Investment Brokerage - National" 1.18 13.39M none
IG index_error index_error 7.68  index_error
IGC "Basic Materials" "Steel & Iron" 0.43 11.87M none
IGLD Technology "Diversified Communication Services" 11.11 215.30M 3.00
IGTE index_error index_error   index_error
IHT Financial "REIT - Hotel\u002FMotel" 2.0005 19.36M none
IIJI Technology "Communication Equipment" 9.16 415.41M 3.00
IILG index_error index_error   index_error
IIVI Technology "Scientific & Technical Instruments" 30.4499 1.90B 2.00
ILMN Healthcare Biotechnology 186.90 27.29B 2.60
IMGN Healthcare Biotechnology 4.17 364.27M 2.10
IMH Financial "Mortgage Investment" 15.49 248.23M 2.00
IMKTA Services "Grocery Stores" 41.95 849.87M 2.00
IMMR Technology "Application Software" 8.15 236.22M 1.90
IMO "Basic Materials" "Major Integrated Oil & Gas" 28.81 24.42B 3.30
IMUC Healthcare Biotechnology 1.64 5.67M 3.00
INAP Technology "Information Technology Services" 3.38 184.22M 2.10
INCR Services "Research Services" 42.40 2.29B 2.30
INCY Healthcare Biotechnology 122.41 23.19B 1.90
INDB Financial "Regional - Northeast Banks" 63.85 1.73B 3.80
INFA index_error index_error 48.73  index_error
INFI Healthcare Biotechnology 1.84 92.78M 3.00
INFN Technology "Communication Equipment" 9.55 1.40B 2.60
INFU index_error index_error 2.00 45.38M 1.00
INGN Healthcare "Medical Instruments & Supplies" 83.58 1.71B none
ININ index_error index_error 60.50  index_error
INO Healthcare Biotechnology 6.47 479.43M 2.00
INOV Technology "Healthcare Information Services" 13.05 1.93B 3.30
INS "Industrial Goods" "Diversified Machinery" 4.23 36.98M none
INTC Technology "Semiconductor - Broad Line" 36.82 173.90B 2.40
INTL Financial "Investment Brokerage - National" 36.99 689.46M 1.00
INTLL index_error index_error   index_error
INTT Technology "Semiconductor - Integrated Circuits" 7.30 74.92M 2.00
INTU Technology "Application Software" 126.14 32.26B 2.60
INWK Services "Business Services" 10.88 588.88M 1.80
IONS   47.72 5.91B 2.80
IOSP "Basic Materials" "Specialty Chemicals" 65.15 1.57B 2.30
IOT Financial "Real Estate Development" 8.46 35.26M none
IPAR "Consumer Goods" "Personal Products" 37.60 1.17B 1.80
IPAS Technology "Telecom Services - Foreign" 1.22 79.84M 2.20
IPB index_error index_error 26.90  none
IPCC Financial "Property & Casualty Insurance" 97.45 1.08B 3.30
IPCM index_error index_error 80.17  index_error
IPGP Technology "Semiconductor Equipment & Materials" 133.735 7.16B 1.80
IPHS "Basic Materials" "Specialty Chemicals" 43.41 836.86M 2.80
IPXL Healthcare "Drug Manufacturers - Major" 13.225 946.17M 2.90
IRBT "Consumer Goods" Appliances 85.90 2.35B 2.50
IRDM Technology "Diversified Communication Services" 10.50 1.02B 2.00
IRG index_error index_error 0.37  none
IRT Financial "REIT - Residential" 9.0827  1.80
IRWD Healthcare "Drugs - Generic" 16.08 2.38B 2.30
ISBC Financial "Savings & Loans" 13.48 4.18B 2.70
ISCA Services "Sporting Activities" 36.60 1.65B 3.20
ISDR Technology "Information Technology Services" 11.65 33.83M none
ISIL index_error index_error 22.49  index_error
ISIS index_error index_error 57.56  index_error
ISL Financial "Asset Management" 18.81 74.77M none
ISLE Services "Resorts & Casinos" 22.98 950.43M 3.00
ISR Healthcare "Medical Instruments & Supplies" 0.57 31.36M 2.00
ISRG Healthcare "Medical Appliances & Equipment" 847.84 31.23B 2.00
